OBJECTID,FACILITYID,INTID,CENSUSTRACT,FIPSCODE,POPULATION2020,HOUSINGUNITS2020,LASTUPDATE,NOTES,Shape_Length,Shape_Area
122,122,122,5032.08,06085503208,3737,836,2022/03/16 00:00:00+00,,16403.2897249585,12101129.9309982
123,123,123,5032.10,06085503210,4114,935,2022/03/16 00:00:00+00,,18596.1207825082,17177043.6548402
124,124,124,5032.12,06085503212,4117,1004,2022/03/16 00:00:00+00,,23006.9244693287,17988808.6037116
125,125,125,5032.13,06085503213,4769,1370,2022/03/16 00:00:00+00,,19470.9079452624,11833334.4460057
126,126,126,5032.17,06085503217,4406,1059,2022/03/16 00:00:00+00,,11704.778883914,6478314.33369973
127,127,127,5032.18,06085503218,4359,1129,2022/03/16 00:00:00+00,,10922.6741617259,6355662.90382332
128,128,128,5032.19,06085503219,2890,749,2022/03/16 00:00:00+00,,10806.6563012275,5210974.56419106
129,129,129,5032.20,06085503220,5635,1580,2022/03/16 00:00:00+00,,13899.3110411108,10224376.5596018
130,130,130,5032.21,06085503221,2980,1004,2022/03/16 00:00:00+00,,13817.5725804145,11354731.0456699
131,131,131,5032.22,06085503222,4691,1300,2022/03/16 00:00:00+00,,12157.66867351,8085140.27628556
132,132,132,5033.36,06085503336,3370,838,2022/03/16 00:00:00+00,,13723.5451532309,9745460.50491562
133,133,133,5033.37,06085503337,3851,1011,2022/03/16 00:00:00+00,,12409.1104928477,8244181.12638176
134,134,134,5119.05,06085511905,3243,1085,2022/03/16 00:00:00+00,,18351.1000030843,13611409.469786
135,135,135,5119.07,06085511907,4033,1353,2022/03/16 00:00:00+00,,24358.2727265014,18713545.9540486
136,136,136,5120.05,06085512005,6601,2224,2022/03/16 00:00:00+00,,22338.7298881997,26057329.5240895
137,137,137,5120.19,06085512019,4653,1574,2022/03/16 00:00:00+00,,15018.6797511868,11608501.4096955
138,138,138,5120.21,06085512021,6292,2065,2022/03/16 00:00:00+00,,19215.8331864834,17327319.0210636
139,139,139,5120.22,06085512022,5877,1943,2022/03/16 00:00:00+00,,14422.8392132338,11054762.537391
140,140,140,5120.23,06085512023,5655,1980,2022/03/16 00:00:00+00,,12843.2390976884,10214842.923259
141,141,141,5120.24,06085512024,4698,1843,2022/03/16 00:00:00+00,,16768.3188540856,17198746.8762029
142,142,142,5120.25,06085512025,3232,1083,2022/03/16 00:00:00+00,,15062.3163045045,13432272.1413914
143,143,143,5120.26,06085512026,3949,1357,2022/03/16 00:00:00+00,,20852.3828305032,23748704.3220273
144,144,144,5120.27,06085512027,4371,1710,2022/03/16 00:00:00+00,,25079.2205217948,18766308.2339917
145,145,145,5120.29,06085512029,6813,2309,2022/03/16 00:00:00+00,,20395.0171007613,20492490.5069579
146,146,146,5120.30,06085512030,3096,983,2022/03/16 00:00:00+00,,17728.8258548632,12826808.9081986
147,147,147,5120.31,06085512031,4447,1400,2022/03/16 00:00:00+00,,17846.8252340719,15452920.816289
148,148,148,5120.36,06085512036,5047,1911,2022/03/16 00:00:00+00,,12339.6761743357,8935226.44432112
149,149,149,5120.37,06085512037,3149,985,2022/03/16 00:00:00+00,,14264.2273122822,10850959.0815469
150,150,150,5120.42,06085512042,2972,871,2022/03/16 00:00:00+00,,12346.1366083148,7139530.18713685
151,151,151,5120.43,06085512043,6028,1633,2022/03/16 00:00:00+00,,14721.9693570191,9926828.41042628
152,152,152,5120.45,06085512045,5635,1845,2022/03/16 00:00:00+00,,23329.2874528538,22048845.3828865
153,153,153,5120.47,06085512047,5379,1736,2022/03/16 00:00:00+00,,18273.5556505509,17798291.5423161
154,154,154,5120.52,06085512052,4119,1802,2022/03/16 00:00:00+00,,18209.7969554978,16530263.3875369
155,155,155,5120.53,06085512053,4687,1570,2022/03/16 00:00:00+00,,16975.3459490648,11760107.3817158
156,156,156,5120.54,06085512054,4373,1854,2022/03/16 00:00:00+00,,8418.97356845147,3898386.52003973
157,157,157,5120.55,06085512055,2998,966,2022/03/16 00:00:00+00,,12233.5941043935,7289486.19615464
158,158,158,5120.56,06085512056,4084,1126,2022/03/16 00:00:00+00,,14107.0787030439,10171809.5571969
159,159,159,5120.57,06085512057,3883,1092,2022/03/16 00:00:00+00,,18110.2114963246,14761727.5571336
160,160,160,5033.31,06085503331,3273,1416,2022/03/16 00:00:00+00,,19620.9243168326,14698111.8499426
161,161,161,5033.32,06085503332,5435,2622,2022/03/16 00:00:00+00,,42734.9961068137,84859614.5286624
162,162,162,5033.33,06085503333,4714,1358,2022/03/16 00:00:00+00,,25079.4568460428,22416246.9452908
163,163,163,5033.38,06085503338,4726,1350,2022/03/16 00:00:00+00,,70002.3845674271,101180487.720825
164,164,164,5033.39,06085503339,4047,1308,2022/03/16 00:00:00+00,,34715.6107698754,40384614.4372721
165,165,165,5120.01,06085512001,7025,2083,2022/03/16 00:00:00+00,,74726.6682749873,215770779.608649
166,166,166,5120.32,06085512032,3487,1185,2022/03/16 00:00:00+00,,28248.4114011714,31951928.19489
167,167,167,5120.34,06085512034,3179,1049,2022/03/16 00:00:00+00,,16723.7074253095,11226464.9819272
